Sentence,Type,
作一個半徑是1的圓,Circle,
以AB線段為直徑畫圓,Circle,
以A點為圓心，r為半徑畫圓,Circle,
連接兩圓交點為直徑畫圓,Circle,
過ABC三點作一個圓,Circle,
以A為圓心，畫一個半徑為r的圓,Circle,
過平面上三點畫圓,Circle,
畫三角形ABC的外接圓,Circle,
以原點為圓心，直徑為1畫圓,Circle,
以A為圓心，畫一個過B點的圓,Circle,
取圓C上兩點AB作一線段,Segment,
取拋物線上兩點AB作一線段,Segment,
連接AB兩點作一線段,Segment,
以A為端點，畫一條長度為圓C半徑長的線段,Segment,
連接三角形兩邊中點畫一線段,Segment,
取兩圓交點連線作一線段,Segment,
連接平面上AB兩點作一線段,Segment,
取正方形一條對角線作一線段,Segment,
畫一條長度為r的線段,Segment,
連接原點和A點作一線段,Segment,
取兩平面相交作一直線,Line,
過平面上兩點作一直線,Line,
過原點做一斜率為m的直線,Line,
過AB兩點作一直線,Line,
延伸三角形一邊作一直線,Line,
過拋物線的焦點作一條平行準線的直線,Line,
過圓上兩點AB作一直線,Line,
過拋物線頂點作一條平行直線L的直線,Line,
過橢圓兩焦點作一直線,Line,
作一條過A點且平行y軸的直線,Line,
作AB線段的中垂線,PerpendicularBisector,
直線上取AB兩點，作AB線段的中垂線,PerpendicularBisector,
連接橢圓兩焦點，畫其中垂線,PerpendicularBisector,
畫橢圓長軸的中垂線,PerpendicularBisector,
取圓C上兩點連線，作其中垂線,PerpendicularBisector,
取拋物線上兩點連線，作其中垂線,PerpendicularBisector,
取三角形一邊，求其中垂線,PerpendicularBisector,
取兩圓交點連線，求其中垂線,PerpendicularBisector,
取兩圓圓心連線，求其中垂線,PerpendicularBisector,
圓C上取兩點AB，求AB線段的中垂線,PerpendicularBisector,
求AB兩點的中點,Midpoint,
求平面上兩點AB的中點座標,Midpoint,
求橢圓兩焦點的中點,Midpoint,
取圓C上兩點AB，求其中點,Midpoint,
取拋物線上兩點AB，求其中點,Midpoint,
取直線L上兩點AB，求其中點,Midpoint,
求長方形對角線的中點,Midpoint,
直線L取兩點AB，求其中點,Midpoint,
橢圓上取兩點AB，求其中點,Midpoint,
平面上取兩點AB，求其中點,Midpoint,
過平面上不共線三點ABC，畫一拋物線,Parabola,
以P點為頂點，直線L為準線，畫拋物線,Parabola,
以x軸為對稱軸，通過AB兩點畫一拋物線,Parabola,
"以原點為頂點，過(p,q)畫一拋物線",Parabola,
以兩直線交點為頂點，直線L為準線畫一拋物線,Parabola,
以兩直線交點為頂點，x軸為準線畫一拋物線,Parabola,   
畫一個開口向上的拋物線,Parabola,
以A點為頂點，橢圓的長軸為準線畫拋物線,Parabola,
以圓C的圓心為頂點，畫一個開口向下的拋物線,Parabola,
以直線L為準線，P點為頂點，畫拋物線,Parabola,
直線七秒,Otherwise,
平面上兩點,Otherwise,
橢圓與直線,Otherwise,
熊貓團團圓圓,Otherwise,
空氣槍,Otherwise,
拋物線雨中垂線,Otherwise,
畫三條圓弧,Otherwise,
直線段,Otherwise,
畫漫畫,Otherwise,
圓寂,Otherwise,
